game_id,vs,q1_1,q1_2,q2_1,q2_2,q3_1,q3_2,q4_1,q4_2,q1_2-q1_1,q2_1-q1_2,q2_2-q2_1,q3_1-q3_2,q3_2-q3_1,q4_2-q4_1
200710300GSW,GSW-UTA,12-15,28-28,44-33,62-51,72-62,86-72,102-85,117-96,3,11,0,-4,4,4
200710300LAL,LAL-HOU,4-9,16-25,31-31,43-43,56-49,70-62,77-68,95-93,-4,9,0,-1,1,-7
200710300SAS,SAS-POR,10-12,26-29,37-44,49-57,59-69,77-81,84-92,97-106,-1,-4,-1,-6,6,-1
200710310CLE,CLE-DAL,14-8,29-15,41-25,54-34,60-41,78-59,86-61,92-74,8,2,4,0,0,-7
200710310DEN,DEN-SEA,10-15,31-32,46-41,58-59,68-74,81-86,89-104,103-120,4,6,-6,-1,1,-2
200710310IND,IND-WAS,8-10,23-28,34-36,45-48,58-58,70-70,83-81,103-103,-3,3,-1,0,0,-2
200710310MEM,MEM-SAS,12-12,23-26,39-38,52-52,64-64,79-82,93-87,104-101,-3,4,-1,3,-3,-3
200710310NJN,NJN-CHI,11-14,21-25,30-38,41-56,55-66,73-74,80-81,96-96,-1,-4,-7,-10,10,1
200710310NOH,NOH-SAC,11-12,24-29,29-38,42-57,55-73,61-87,77-92,90-104,-4,-4,-6,8,-8,1
200710310ORL,ORL-MIL,8-12,24-24,36-33,46-48,56-60,62-83,69-95,83-102,4,3,-5,17,-17,7
200711010MIA,MIA-DET,8-14,26-22,35-29,48-42,59-52,66-62,74-64,91-78,10,2,0,3,-3,3
200710310TOR,TOR-PHI,10-14,22-24,37-39,50-58,54-72,67-81,82-88,97-106,2,0,-6,-4,4,-3
200711010SEA,SEA-PHO,13-17,27-26,37-39,55-55,63-66,79-82,91-86,106-97,5,-3,2,0,0,4
200711010UTA,UTA-HOU,8-20,24-29,41-37,57-49,68-61,78-66,87-78,106-95,7,9,4,-5,5,2
200711020ATL,ATL-DAL,8-8,19-29,26-39,39-46,54-56,69-68,77-80,94-99,-10,-3,6,-3,3,-2
200711020BOS,BOS-WAS,5-8,18-21,26-38,36-58,42-67,57-79,72-88,83-103,0,-9,-10,-3,3,-4
200711020CHA,CHA-MIL,6-8,18-24,32-37,49-46,55-57,69-71,82-84,99-100,-4,1,8,0,0,1
200711020CHI,CHI-PHI,12-8,28-20,33-27,42-41,55-53,71-61,81-72,96-85,4,-2,-5,-8,8,2
200711020CLE,CLE-NYK,14-19,34-32,41-37,54-55,70-67,80-75,86-86,106-110,7,2,-5,-2,2,-4
200711020IND,IND-MIA,6-14,22-24,34-31,47-45,56-56,65-68,72-73,85-87,6,5,-1,3,-3,-1
200711020LAC,LAC-GSW,17-12,27-34,37-51,61-59,69-77,90-92,100-109,114-120,-12,-7,16,-6,6,3
200711020MIN,MIN-DEN,6-17,21-27,29-37,49-52,60-66,74-77,83-82,99-91,5,-2,5,-3,3,7
200711020NJN,NJN-TOR,8-8,21-21,38-26,56-41,72-43,80-53,98-59,106-69,0,12,3,2,-2,-2
200711020NOH,NOH-POR,9-16,21-31,37-43,49-57,53-68,64-87,75-97,93-113,-3,4,-2,8,-8,2
200711020ORL,ORL-DET,13-16,28-30,43-42,64-55,80-65,91-78,103-82,116-92,1,3,8,2,-2,3
200711020PHO,PHO-LAL,10-12,33-20,48-33,63-50,71-56,95-67,107-76,119-95,15,2,-2,-13,13,-7
200711020SAS,SAS-SAC,2-11,10-17,16-34,23-50,35-59,54-71,64-83,80-96,2,-11,-9,-7,7,3
200711030DAL,DAL-SAC,8-16,25-35,37-51,56-73,67-82,83-101,91-112,102-123,-2,-4,-3,3,-3,0
200711030HOU,HOU-POR,4-11,12-25,17-34,31-46,44-54,46-62,56-70,80-89,-6,-4,2,6,-6,5
200711030MEM,MEM-IND,16-8,40-31,51-41,72-61,83-69,94-87,105-94,121-109,1,1,1,7,-7,1
200711030MIL,MIL-CHI,9-10,19-20,29-21,35-32,39-39,48-56,55-63,72-78,0,9,-5,8,-8,2
200711030UTA,UTA-GSW,18-9,28-29,36-45,46-65,66-85,81-94,97-109,110-133,-10,-8,-10,-6,6,-11
200711030PHI,PHI-NJN,7-11,17-19,24-25,38-34,49-46,67-57,77-75,93-88,2,1,5,-7,7,3
